merchant_code,active_months,monthly_average_transaction,projectedValue,lastActive
M00001457,1,0.0100,None,2017-02-01 11:19:01
M00000176,1,0.0100,None,2015-12-21 08:56:00
M00000312,1,0.0300,None,2016-02-03 16:55:57
M00000838_0002,1,0.0600,None,2017-01-19 07:17:28
M00001428,1,0.0800,None,2017-01-23 13:02:04
M00000117,1,0.0900,None,2016-04-28 17:09:49
M00000034,1,0.1000,None,2016-06-06 10:47:02
M00000126,1,0.1000,None,2016-04-28 16:30:51
M00000002_0006,1,0.2600,None,2017-01-23 13:50:47
M00001442_0001,1,0.3000,None,2017-02-02 08:00:16
M00001464,1,0.3300,None,2017-02-15 09:26:29
M00001198_0001,1,0.5500,None,2016-12-28 09:32:24
M00001458_0001,1,0.5800,None,2017-02-02 09:49:53
M00000313,1,0.5800,None,2016-02-04 05:57:41
M00001188,3,0.2900,None,2016-12-23 05:32:15
M00000933,1,1.0000,"$100,000 > $500,000",2016-08-10 10:40:31
M00000273,1,1.0000,None,2016-03-23 09:31:42
M00000311,1,1.0200,None,2016-02-03 18:29:20
M00000838_0001,2,0.5250,None,2016-11-24 07:21:52
M00001270_0006,1,1.2000,None,2017-02-09 10:29:45
M00001322_0001,1,1.2000,None,2017-02-09 10:02:13
M00000862,2,0.6300,None,2017-01-23 09:03:57
M00000002_0002,2,0.8550,None,2017-01-23 15:37:47
M00000814,1,2.2000,"$100,000 > $500,000",2016-06-13 12:38:36
M00000897,3,0.8000,"<100,000",2016-10-25 09:00:27
M00000015,3,0.9633333333333333333333333333,None,2016-06-17 18:10:25
M00000870,1,3.1700,None,2016-10-27 10:38:42
M00001175,4,0.8700,None,2017-01-23 13:00:40
M00001174,4,1.0575,None,2017-01-23 09:05:37
M00000804,1,5.0000,None,2016-05-27 07:52:23
M00001270,4,1.3325,"$100,000 > $500,000",2017-02-09 06:36:02
M00001444,1,5.6100,None,2017-02-16 09:01:45
M00000875,1,6.0000,None,2016-06-15 12:20:43
M00000609,1,10.0000,None,2016-09-05 14:07:30
M00001022_0009,1,10.0000,None,2016-11-21 11:47:57
M00000308,1,22.8700,None,2016-02-03 18:18:42
M00000018,3,19.40333333333333333333333333,None,2015-12-31 19:16:29
M00000992,1,89.0000,"$100,000 > $500,000",2016-11-24 12:48:19
M00000039,1,101.0000,None,2015-10-29 15:04:36
M00000023,2,65.0700,None,2017-01-05 07:50:33
M00001370,1,163.0000,None,2016-12-22 05:49:14
M00001106,1,180.0000,None,2016-10-04 07:54:56
M00000133,1,200.0000,None,2015-11-23 10:16:41
M00001049,4,52.7250,"<100,000",2017-01-23 07:45:35
M00001314,1,211.0000,None,2016-12-06 11:37:33
M00001022,5,50.3520,"<100,000",2017-01-05 12:06:45
M00001256,1,520.0000,None,2016-12-06 04:14:37
M00001351,1,548.1000,None,2016-12-20 04:40:35
M00000733,1,594.0000,"$100,000 > $500,000",
M00000536,1,600.0000,None,2016-05-09 12:03:56
M00001276,3,203.3333333333333333333333333,"$100,000 > $500,000",2017-01-05 20:04:55
M00000950,3,211.7733333333333333333333333,"$100,000 > $500,000",2017-01-12 06:50:28
M00001364,1,689.2300,"<100,000",2017-01-19 09:46:35
M00000981,1,789.0000,"$100,000 > $500,000",2016-09-12 10:56:32
M00000009,1,1000.0000,None,2015-10-22 11:38:15
M00001297,1,1000.1000,"$500,000 > $5M",2016-12-01 10:23:43
M00000974,2,607.2250,"$100,000 > $500,000",2016-12-28 06:30:15
M00000001,11,123.3354545454545454545454545,None,2016-08-03 22:12:39
M00000014,11,130.3354545454545454545454545,None,2016-08-03 22:33:04
M00000038,1,2877.3600,$5M > $10M,2016-08-18 06:37:08
M00001154,3,1254.583333333333333333333333,"<100,000",2017-01-16 09:42:36
M00000631,1,4164.0000,None,2016-04-07 06:44:35
M00000707,1,4200.0000,None,2016-04-15 10:20:14
M00001300,3,1577.773333333333333333333333,"$100,000 > $500,000",2017-01-21 09:50:29
M00001094,1,5000.0000,None,2017-01-19 10:13:39
M00000238,1,5000.0000,None,2016-01-21 05:16:12
M00000241,2,2525.0000,"$100,000 > $500,000",2016-03-15 09:55:09
M00000114,1,5476.0100,"$500,000 > $5M",2015-11-25 07:44:06
M00000736,8,769.02875,"$100,000 > $500,000",2016-11-04 12:45:52
M00000002,15,419.9873333333333333333333333,"<100,000",2016-12-29 07:54:05
M00001240,1,6403.5000,"<100,000",2016-11-05 00:16:43
M00000807,1,6600.0000,"<100,000",2016-05-17 07:41:59
M00000662,1,7000.0000,None,2016-08-02 06:06:00
M00001203,3,2434.633333333333333333333333,None,2017-01-18 06:01:36
M00001058,2,3830.0000,"<100,000",2016-12-16 11:06:43
M00001130,1,8880.0000,"$100,000 > $500,000",2016-12-28 04:47:34
M00000961,1,10000.0000,"$100,000 > $500,000",2017-01-27 05:44:40
M00000738,1,10000.0000,None,2016-04-22 05:40:58
M00001047,6,1674.951666666666666666666667,None,2017-02-10 12:47:41
M00000008,5,2083.6000,None,2016-03-17 10:40:09
M00000980,4,2737.3750,"$100,000 > $500,000",2016-12-19 05:46:30
M00001140,2,5484.9300,"$100,000 > $500,000",2016-11-09 12:32:58
M00001176,1,11000.0000,"$100,000 > $500,000",2016-11-14 11:28:48
M00000175,13,856.7784615384615384615384615,None,2017-01-30 17:05:27
