Merchant: M00001457;  Active: 1; Monthly Avg Trans: 0.0100; Projected Value: None
Merchant: M00000176;  Active: 1; Monthly Avg Trans: 0.0100; Projected Value: None
Merchant: M00000312;  Active: 1; Monthly Avg Trans: 0.0300; Projected Value: None
Merchant: M00000838_0002;  Active: 1; Monthly Avg Trans: 0.0600; Projected Value: None
Merchant: M00001428;  Active: 1; Monthly Avg Trans: 0.0800; Projected Value: None
Merchant: M00000117;  Active: 1; Monthly Avg Trans: 0.0900; Projected Value: None
Merchant: M00000034;  Active: 1; Monthly Avg Trans: 0.1000; Projected Value: None
Merchant: M00000126;  Active: 1; Monthly Avg Trans: 0.1000; Projected Value: None
Merchant: M00000002_0006;  Active: 1; Monthly Avg Trans: 0.2600; Projected Value: None
Merchant: M00001442_0001;  Active: 1; Monthly Avg Trans: 0.3000; Projected Value: None
Merchant: M00001464;  Active: 1; Monthly Avg Trans: 0.3300; Projected Value: None
Merchant: M00001198_0001;  Active: 1; Monthly Avg Trans: 0.5500; Projected Value: None
Merchant: M00001458_0001;  Active: 1; Monthly Avg Trans: 0.5800; Projected Value: None
Merchant: M00000313;  Active: 1; Monthly Avg Trans: 0.5800; Projected Value: None
Merchant: M00001188;  Active: 3; Monthly Avg Trans: 0.2900; Projected Value: None
Merchant: M00000933;  Active: 1; Monthly Avg Trans: 1.0000; Projected Value: $100,000 > $500,000
Merchant: M00000273;  Active: 1; Monthly Avg Trans: 1.0000; Projected Value: None
Merchant: M00000311;  Active: 1; Monthly Avg Trans: 1.0200; Projected Value: None
Merchant: M00000838_0001;  Active: 2; Monthly Avg Trans: 0.5250; Projected Value: None
Merchant: M00001270_0006;  Active: 1; Monthly Avg Trans: 1.2000; Projected Value: None
Merchant: M00001322_0001;  Active: 1; Monthly Avg Trans: 1.2000; Projected Value: None
Merchant: M00000862;  Active: 2; Monthly Avg Trans: 0.6300; Projected Value: None
Merchant: M00000002_0002;  Active: 2; Monthly Avg Trans: 0.8550; Projected Value: None
Merchant: M00000814;  Active: 1; Monthly Avg Trans: 2.2000; Projected Value: $100,000 > $500,000
Merchant: M00000897;  Active: 3; Monthly Avg Trans: 0.8000; Projected Value: <100,000
Merchant: M00000015;  Active: 3; Monthly Avg Trans: 0.9633333333333333333333333333; Projected Value: None
Merchant: M00000870;  Active: 1; Monthly Avg Trans: 3.1700; Projected Value: None
Merchant: M00001175;  Active: 4; Monthly Avg Trans: 0.8700; Projected Value: None
